2024-12-22 13:31:51,138 INFO package: mysql.connector.plugins
2024-12-22 13:31:51,138 INFO plugin_name: caching_sha2_password
2024-12-22 13:31:51,138 INFO AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2024-12-22 13:32:26,186 INFO Block IDs to ignore: {17962373, 17963269, 19409169, 12884626, 22920853, 17962399, 17962292, 17962807, 19394871, 19394874, 22526909, 12884542, 18913349, 12884556, 14909406, 17962862, 19952369, 19938035, 17962356, 17962997, 17962233, 21726719}
2024-12-22 13:32:26,186 INFO Processing batch from block_id 0 to 1000000
2024-12-22 13:32:27,216 INFO Processing batch from block_id 1000000 to 2000000
2024-12-22 13:32:27,728 INFO Processing batch from block_id 2000000 to 3000000
2024-12-22 13:32:28,236 INFO Processing batch from block_id 3000000 to 4000000
2024-12-22 13:32:28,472 INFO Processing batch from block_id 4000000 to 5000000
2024-12-22 13:32:29,615 INFO Block ID: 5900987, Extrinsic Index: 4, Event Index: 18, Transaction: {'from': '128punQJAKXj4jNdbubm9PFQNNLj8JWQj3ZH7rWjKj2wvEoA', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,615 INFO Block ID: 5900987, Extrinsic Index: 5, Event Index: 23, Transaction: {'from': '1296rW7qPDsWUG6FJ9P1WU45SqTQn21RPs2jhbjCzPUmJSwZ', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,615 INFO Block ID: 5900987, Extrinsic Index: 6, Event Index: 28, Transaction: {'from': '1299huwchzhf9zFZmBmjbJSEjJx2yeBXVWNRhVZyGuMDEpWz', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,615 INFO Block ID: 5900987, Extrinsic Index: 7, Event Index: 33, Transaction: {'from': '129EeLSnLpWkFvc4SjHsjrYmaquEbcz31hHAoJFv22LjAnRd', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,618 INFO Block ID: 5900987, Extrinsic Index: 8, Event Index: 38, Transaction: {'from': '129m2S1HEMPuVsqmBrkGUtiwjLWmyqkdrp8BdtRbxDANxkco', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,619 INFO Block ID: 5900987, Extrinsic Index: 9, Event Index: 43, Transaction: {'from': '129rBq85JckePMxBpxGmitrZW59JSGL5xBpeG22wdxUsQmtG', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,619 INFO Block ID: 5900987, Extrinsic Index: 10, Event Index: 48, Transaction: {'from': '129s64jQdKgjKEVmZf5DDzaATjza56HBmYRLD9bjwHYg1LDD', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,619 INFO Block ID: 5900987, Extrinsic Index: 11, Event Index: 53, Transaction: {'from': '12aqcH8uXQLvAbTFP4h7toKo8LmhY1imQaywAPFo84A6rzya', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,619 INFO Block ID: 5900987, Extrinsic Index: 12, Event Index: 58, Transaction: {'from': '12bbFSJ5STw1M55mNG5Qk7fRZTnuzULvdYmfp82dNCArmDar', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0008}
2024-12-22 13:32:29,622 INFO Block ID: 5900987, Extrinsic Index: 13, Event Index: 63, Transaction: {'from': '12BBhPqiH61Kkaipz369YiSk5QrPCj2pBTFECr7EDgMTgVUA', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,624 INFO Block ID: 5900987, Extrinsic Index: 14, Event Index: 68, Transaction: {'from': '12bJhVuJhr7SAEsCa6CFVVzomvnaNEZnfQyDNrQPscwrT9ft', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,624 INFO Block ID: 5900987, Extrinsic Index: 15, Event Index: 73, Transaction: {'from': '12bMA6sXr5J24VvHmVfyUkjAmGuSD9SWE6LnTJoVfjovzPFa', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,624 INFO Block ID: 5900987, Extrinsic Index: 16, Event Index: 78, Transaction: {'from': '12bMb1kXLvhUzmVBQK8kzPmpYRSCF6REdFY7bthhtRR7Up7T', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,624 INFO Block ID: 5900987, Extrinsic Index: 17, Event Index: 83, Transaction: {'from': '12BMgFwR6ehVnWqFg3oXvbJG12HUgg1AMikhhEHRLEmq7ohW', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,624 INFO Block ID: 5907426, Extrinsic Index: 1, Event Index: 2, Transaction: {'from': '12dT8vChJzw1hgbwruMagUFnFpvjxtyJ99omTR2xj73aBu4w', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.032700003}
2024-12-22 13:32:29,624 INFO Block ID: 5907426, Extrinsic Index: 2, Event Index: 7, Transaction: {'from': '12dVEsSGNyJznznFFdKCkmah4XzrqBzFtSQm6rarTcgytHBW', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0168000015}
2024-12-22 13:32:29,624 INFO Block ID: 5907426, Extrinsic Index: 3, Event Index: 12, Transaction: {'from': '12dVTLLk8x7cZPMJNhWzn9PU39XHCWSGEktnjjCSiZJaoAJE', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0168000015}
2024-12-22 13:32:29,624 INFO Block ID: 5907426, Extrinsic Index: 4, Event Index: 17, Transaction: {'from': '12E2VinFtFKBJeijVDWrhpPiVcNKqmgdCbQb1AtaBQLLegDD', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,630 INFO Block ID: 5907437, Extrinsic Index: 1, Event Index: 2, Transaction: {'from': '136HgSv4WQe218CQp5UFsVtgrCGZWT4gYzGgm4NuQW5xi8jm', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0009}
2024-12-22 13:32:29,630 INFO Block ID: 5907437, Extrinsic Index: 2, Event Index: 7, Transaction: {'from': '136i6QWErqWcUFbkVAC9tw6Yxakf2SWbMZuFPRLb6ZdeyTCP', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0009}
2024-12-22 13:32:29,630 INFO Block ID: 5907437, Extrinsic Index: 3, Event Index: 12, Transaction: {'from': '136JsmxCPkKc7niaNGNZ1q1u38XP53LKmnzKpgnomcNenruT', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0009}
2024-12-22 13:32:29,631 INFO Block ID: 5907437, Extrinsic Index: 4, Event Index: 17, Transaction: {'from': '136kbVuwdTLAx8EzLuQh878BncqL5DjwpZ4S2N8i9es6p1Ct', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0009}
2024-12-22 13:32:29,631 INFO Block ID: 5907437, Extrinsic Index: 5, Event Index: 22, Transaction: {'from': '136LQjwXM6WCKEwZaD5hMepm2J4yZX7yipKknnvBU5W61CpY', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0009}
2024-12-22 13:32:29,634 INFO Block ID: 5907437, Extrinsic Index: 6, Event Index: 27, Transaction: {'from': '136SahgXmE7s1VSzWZHGkRpp1jfYEQ4YQ66eZbnZSgKXHYNF', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0009}
2024-12-22 13:32:29,634 INFO Block ID: 5907437, Extrinsic Index: 7, Event Index: 32, Transaction: {'from': '136XEo8mUkRBubLKoszatFkSJrQJHpbNGhMSqnopfhDekBYz', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0009}
2024-12-22 13:32:29,634 INFO Block ID: 5907447, Extrinsic Index: 1, Event Index: 2, Transaction: {'from': '12e82mcNc8YXu96hzPpzt4cW4xmbLnjpunLcCpN7j2A5iu6w', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0008}
2024-12-22 13:32:29,634 INFO Block ID: 5907447, Extrinsic Index: 2, Event Index: 7, Transaction: {'from': '12e8A1u1KPijmRpgMCtFtgmf4WsJYhToAYmHdfVsAqt2Fba3', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,634 INFO Block ID: 5907447, Extrinsic Index: 3, Event Index: 12, Transaction: {'from': '12e9EdLnPT1u42nS3pKUAZ6J7gK1uhN2DqdKcdn8yRhuWoZR', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,638 INFO Block ID: 5907447, Extrinsic Index: 4, Event Index: 17, Transaction: {'from': '12ebN26zt7ikKw2R3b9Vku7JdaBeH2qHMP2r9Km8oL2VYh3i', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,638 INFO Block ID: 5907447, Extrinsic Index: 5, Event Index: 22, Transaction: {'from': '12eFeDF6PJbqdnFS5zfidZ2kDJXTvufG2S4ErWWWFdAHLvLe', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
